sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.2,2.0,150,-0.9693296145739212,17.87483512320887,5.361230273731492e-05,3.572197733294398e-05,0.0293835652171938,True
0.2,2.0,160,-0.9691240890192566,15.21206514689907,9.927194424327276e-06,6.679834816766971e-07,0.0001484305157936,True
0.175,2.0,100,-1.5172355677380949,16.33016577028623,1.511816251358432e-06,-2.1630716437361697e-06,3.648348157550506e-12,True
0.175,2.0,110,-1.4398335203922878,16.72236851272542,1.141118432127726e-06,-1.6178143123858602e-06,2.079792375213257e-12,True
0.175,2.0,120,-1.3239770460516669,16.57174528333156,1.1825372381366155e-06,-1.6811201292395305e-06,2.2337911420578906e-12,True
0.175,2.0,10,-1.2257865007608175,16.733196602792827,3.0609809344476226e-08,-4.338616859578953e-08,1.4968433724634977e-15,True
0.175,2.0,70,1.453062536453016,0.0021825727400409,1.5715792670293278,3.2319658236193822,1.2642795927623087,True
0.175,2.0,150,-1.0149734663911003,16.273110453601483,4.88768474294653e-07,-6.983535241420503e-07,3.819689048534829e-13,True
0.175,3.0,30,-0.9823287047856156,22.92161903546289,3.6596803612264444e-09,-4.9406660511611925e-09,2.6426853120355108e-17,True
0.175,3.0,50,-1.1311802904542188,23.70789387554989,3.810908049506537e-09,-6.660249399758158e-09,4.37753400536761e-17,True
0.175,3.0,70,-1.2411638502303473,22.70628832038417,1.5207754933342932e-08,-1.9869926297488048e-08,4.3391470856161126e-16,True
0.175,4.0,10,-0.6431300676864777,24.303770237481427,1.4010777598819707e-10,-4.2901605220188176e-10,1.446507121016625e-19,True
0.175,4.0,30,-0.8063061637744695,25.03519562693556,-5.580244459445302e-10,-2.601562328184117e-09,2.732383381489367e-18,True
0.175,4.0,50,-0.9713431151378424,28.36746683302429,3.341436977158004e-09,1.7830330996408561e-09,3.6016434143210604e-19,True
0.175,5.0,30,-0.7044702932911489,21.21245374404036,1.8790459071066133e-08,-2.351869229098284e-08,5.6830528494893025e-16,True
0.175,5.0,50,-0.880931766575341,23.45940363969884,7.052470904925631e-09,-1.0992603074148181e-08,1.2762854707113282e-16,True
0.175,2.0,130,-1.182929520464708,16.563683737246567,9.864481292448006e-07,-1.4027065527350357e-06,1.5535246573780293e-12,True
0.175,3.0,10,-0.8356942797370285,25.08863513915295,-5.5793093598537e-11,-2.7552095148495437e-10,3.0922341306099924e-20,True
0.175,3.0,110,-1.1935686010743944,23.245174544845568,5.66541630618239e-08,8.194928780871889e-09,1.946726941523538e-07,True
0.175,3.0,130,-0.8988995481850413,25.053082259391225,-1.045233154388901e-07,-7.873475144231403e-08,6.829672103134405e-07,True
0.175,4.0,70,-1.1008009028825008,23.2382866745389,1.1956610635527128e-08,-1.7260239754348978e-08,3.214677976929373e-16,True
0.175,4.0,110,-1.117166298901565,25.649584961057563,-7.066917848859429e-07,-4.937243850682624e-07,7.768611283458644e-13,True
0.175,5.0,10,-0.5291081014296696,24.155992657289858,2.2064679543124764e-10,-5.52664941785011e-10,2.581125778784138e-19,True
0.175,5.0,70,-1.0243206238751108,30.90443681851324,1.152451568723333e-09,6.86522601018687e-10,9.881495431434552e-14,True
0.1,2.0,110,-1.746153176185127,12.059467316092784,2.633278520357138e-05,-3.92663564765638e-05,1.1309445745869811e-09,True
0.1,2.0,130,-1.5342343972719072,12.557519262933418,1.333292351580752e-05,-1.9835135988114004e-05,2.8903203158491603e-10,True
0.1,2.0,150,-1.4275286639180238,12.642263594499896,5.080097642759846e-06,-7.529253390868626e-06,4.2100397296910825e-11,True
0.1,3.0,50,-1.3494728923899653,18.973653503621662,1.1393994005349425e-07,-1.5301752255645108e-07,2.0533098936369305e-14,True
0.1,3.0,110,-1.3417051151294772,18.50135906669821,3.5979580191523746e-07,-4.901491995353683e-07,2.045871013729576e-13,True
0.1,4.0,10,-0.8296187018729682,25.02630069256191,-4.259813761222087e-11,-2.7860608359575634e-10,3.422707507013785e-20,True
0.1,4.0,110,-1.1905640114485143,23.02984068992566,1.7286887521192983e-08,-2.383335179728088e-08,6.114857658335542e-16,True
0.1,5.0,10,-0.6766198360671257,24.88836299303995,-1.7412312846405e-11,-3.4459692702660256e-10,6.560269832376738e-20,True
0.1,5.0,110,-1.1275327601688507,31.39519218921798,1.4043372993017195e-09,8.6331230517055e-10,8.690257836188449e-18,True
0.05,2.0,10,-2.256386079376232,8.944271862761285,5.435714535387861e-06,-8.235214197531213e-06,5.0290852899019984e-11,True
0.05,2.0,30,-2.344528004052444,8.944271862761285,-0.000227182690825,-0.0002270217278284,4.401701777608052e-05,True
0.05,2.0,50,-2.43210896241312,8.944271862761285,-0.0005446522016671,-0.0005445331566031,0.000153651059527,True
0.05,2.0,70,-2.477590905584868,8.944271862761287,-0.0008613777506026,-0.0008614018314604,0.0001294429405161,True
0.05,2.0,110,-2.3528314897998794,8.944271862761289,-0.0012627868521719,-0.0012632500423415,0.0081273625458656,True
0.05,2.0,130,-2.1902076320431174,8.94427186276129,-0.0007613946518974,-0.0007609352304723,0.0014654950896711,True
0.05,2.0,150,-2.0094533418986376,8.94427186276129,-0.0002897620850031,-0.0002896247006034,0.0242632712991288,True
0.05,3.0,70,-1.8066138860342773,13.416405372632488,7.761155048251382e-06,-1.1462188059273184e-05,9.718200459626012e-11,True
0.05,3.0,110,-1.704032857753624,13.416406773982764,-0.0017093415668795,-0.0011366819258187,0.063400139756363,True
0.05,3.0,130,-1.4491658888075405,13.41462440223358,7.571965529881812e-06,-1.1206008071315173e-05,9.263345606552635e-11,True
0.05,3.0,150,-1.448184278129256,13.416407598714878,7.5716826519580465e-06,-1.1200766909240158e-05,0.0955307712289262,True
0.05,4.0,110,-1.3848979059117632,16.90566074870794,1.0701834997591492e-06,-1.5122201253858978e-06,1.827674337731643e-12,True
0.05,4.0,130,-1.118274330399845,17.833518001725068,4.27792444835012e-07,-5.929649826883657e-07,2.897799346679104e-13,True
0.05,4.0,150,-1.0193809475577726,5.019286662809799,0.0064708777071634,-0.0024502505760115,0.0016452738933889,True
